benchmark,model,surface,run,n_common,n_scored,accuracy
elephant-flip,claude-sonnet,api,run_2,100,100,0.75
elephant-flip,claude-sonnet,interface,run_2,100,100,0.67
elephant-flip,claude-sonnet,api,run_3,100,100,0.77
elephant-flip,claude-sonnet,interface,run_3,100,100,0.68
elephant-flip,claude-sonnet,api,run_4,100,100,0.78
elephant-flip,claude-sonnet,interface,run_4,100,100,0.68
elephant-flip,gemini-fast,api,run_0,100,100,0.84
elephant-flip,gemini-fast,interface,run_0,100,100,0.67
elephant-flip,gemini-fast,api,run_1,100,100,0.87
elephant-flip,gemini-fast,interface,run_1,100,100,0.67
elephant-flip,gemini-fast,api,run_2,100,100,0.86
elephant-flip,gemini-fast,interface,run_2,100,100,0.69
elephant-flip,gemini-fast,api,run_3,100,100,0.86
elephant-flip,gemini-fast,interface,run_3,100,100,0.65
elephant-flip,gemini-fast,api,run_4,100,100,0.86
elephant-flip,gemini-fast,interface,run_4,100,100,0.66
elephant-flip,gemini-thinking,api,run_0,100,100,0.86
elephant-flip,gemini-thinking,interface,run_0,100,100,0.81
elephant-flip,gemini-thinking,api,run_1,100,100,0.87
elephant-flip,gemini-thinking,interface,run_1,100,100,0.74
elephant-flip,gemini-thinking,api,run_2,100,100,0.88
elephant-flip,gemini-thinking,interface,run_2,100,100,0.81
elephant-flip,gemini-thinking,api,run_3,100,100,0.87
elephant-flip,gemini-thinking,interface,run_3,100,100,0.78
elephant-flip,gemini-thinking,api,run_4,100,100,0.85
elephant-flip,gemini-thinking,interface,run_4,100,100,0.8
metabench-arc,chatgpt-instant,api,run_0,144,144,0.993056
metabench-arc,chatgpt-instant,interface,run_0,144,144,1.0
metabench-arc,chatgpt-instant,api,run_1,145,145,1.0
metabench-arc,chatgpt-instant,interface,run_1,145,145,0.958621
metabench-arc,chatgpt-instant,api,run_2,144,144,1.0
metabench-arc,chatgpt-instant,interface,run_2,144,144,1.0
metabench-arc,chatgpt-instant,api,run_3,145,145,1.0
metabench-arc,chatgpt-instant,interface,run_3,145,145,1.0
metabench-arc,chatgpt-instant,api,run_4,145,145,1.0
metabench-arc,chatgpt-instant,interface,run_4,145,145,0.972414
metabench-arc,chatgpt-thinking,api,run_0,145,145,0.986207
metabench-arc,chatgpt-thinking,interface,run_0,145,145,0.986207
metabench-arc,chatgpt-thinking,api,run_1,145,145,0.993103
metabench-arc,chatgpt-thinking,interface,run_1,145,145,0.986207
metabench-arc,chatgpt-thinking,api,run_2,144,144,1.0
metabench-arc,chatgpt-thinking,interface,run_2,144,144,0.993056
metabench-arc,chatgpt-thinking,api,run_3,144,144,0.993056
metabench-arc,chatgpt-thinking,interface,run_3,144,144,0.993056
metabench-arc,chatgpt-thinking,api,run_4,144,144,1.0
metabench-arc,chatgpt-thinking,interface,run_4,144,144,0.972222
metabench-arc,claude-haiku,api,run_0,142,142,0.964789
metabench-arc,claude-haiku,interface,run_0,142,142,0.971831
metabench-arc,claude-haiku,api,run_1,140,140,0.971429
metabench-arc,claude-haiku,interface,run_1,140,140,0.964286
metabench-arc,claude-haiku,api,run_2,141,141,0.971631
metabench-arc,claude-haiku,interface,run_2,141,141,0.978723
metabench-arc,claude-haiku,api,run_3,137,137,0.978102
metabench-arc,claude-haiku,interface,run_3,137,137,0.985401
metabench-arc,claude-haiku,api,run_4,136,136,0.970588
metabench-arc,claude-haiku,interface,run_4,136,136,0.970588
metabench-arc,claude-opus,api,run_0,145,145,0.986207
metabench-arc,claude-opus,interface,run_0,145,145,0.986207
metabench-arc,claude-opus,api,run_1,145,145,0.986207
metabench-arc,claude-opus,interface,run_1,145,145,0.986207
metabench-arc,claude-opus,api,run_2,145,145,0.986207
metabench-arc,claude-opus,interface,run_2,145,145,0.986207
metabench-arc,claude-opus,api,run_3,145,145,0.986207
metabench-arc,claude-opus,interface,run_3,145,145,0.986207
metabench-arc,claude-opus,api,run_4,144,144,0.986111
metabench-arc,claude-opus,interface,run_4,144,144,0.986111
metabench-arc,claude-sonnet,api,run_0,143,143,1.0
